"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
2888,PLANT GROWTH REGULATION,"4,394",2.646,2.497,0.003680
2890,BMC MICROBIOLOGY,"8,484",2.644,2.990,0.019330
2890,SEMINARS IN REPRODUCTIVE MEDICINE,"1,802",2.644,2.663,0.003420
2892,INTERNATIONAL JOURNAL OF FORECASTING,"3,634",2.642,2.837,0.006540
2893,PROSTAGLANDINS & OTHER LIPID MEDIATORS,"2,053",2.640,2.932,0.002760
2893,THEORETICAL AND APPLIED CLIMATOLOGY,"5,634",2.640,2.621,0.011500
2895,JOURNAL OF HUMAN NUTRITION AND DIETETICS,"2,248",2.638,2.721,0.004370
2896,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,"2,205",2.635,2.777,0.002980
2896,IET Renewable Power Generation,"2,201",2.635,3.368,0.004380
2898,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,"2,575",2.634,3.055,0.007690
2898,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,"7,111",2.634,2.357,0.011730
2898,MEDICAL ONCOLOGY,"6,388",2.634,2.514,0.015890
2901,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,"4,534",2.633,1.895,0.005710
2901,TRANSPORTATION,"2,692",2.633,2.979,0.004460
2901,TRANSPORTATION,"2,692",2.633,2.979,0.004460
2904,HARVARD INTERNATIONAL LAW JOURNAL,504,2.632,3.111,0.001000
2905,EPILEPSY & BEHAVIOR,"8,452",2.631,2.522,0.017220
2905,JOURNAL OF TECHNOLOGY TRANSFER,"1,726",2.631,2.777,0.002070
2907,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,"30,201",2.630,2.360,0.026230
2907,UNIVERSITY OF PENNSYLVANIA LAW REVIEW,"2,598",2.630,2.733,0.003370
2909,AUTOIMMUNITY,"2,067",2.629,2.294,0.003650
2909,Plant Reproduction,206,2.629,2.937,0.001030
2909,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"2,872",2.629,2.722,0.005720
2912,Technological and Economic Development of Economy,816,2.628,2.706,0.001660
2912,VETERINARY MICROBIOLOGY,"13,454",2.628,2.535,0.022400
2912,VIRUS RESEARCH,"8,165",2.628,2.580,0.016270
2915,ANNUAL REVIEWS IN CONTROL,"1,583",2.627,4.570,0.002650
2915,ARTIFICIAL INTELLIGENCE REVIEW,"1,524",2.627,2.835,0.002370
2917,PURE AND APPLIED CHEMISTRY,"13,829",2.626,3.210,0.008710
2918,Automated Software Engineering,411,2.625,2.795,0.000970
2918,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,"12,474",2.625,2.493,0.009030
2918,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,"6,341",2.625,3.226,0.009380
2921,International Journal of Rheumatic Diseases,"1,416",2.624,2.499,0.004460
2921,Neuroscience Bulletin,"1,204",2.624,2.497,0.003620
2923,COMPUTERS & INDUSTRIAL ENGINEERING,"8,227",2.623,2.859,0.012930
2923,Minerva Anestesiologica,"2,594",2.623,2.206,0.005410
2925,HUMAN RELATIONS,"7,146",2.622,4.027,0.006780
2926,Particuology,"2,171",2.621,2.707,0.005040
2927,PARASITOLOGY,"9,255",2.620,2.491,0.010200
2928,Clinical Neuroradiology,433,2.618,2.395,0.001540
2928,RESOURCES POLICY,"1,798",2.618,3.135,0.002930
2930,MEDICAL PHYSICS,"22,942",2.617,2.932,0.037130
2931,Administration and Policy in Mental Health and Mental Health Services Research,"2,019",2.616,3.932,0.004890
2931,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,"2,508",2.616,2.569,0.002830
2931,JOURNAL OF APPLIED PHYCOLOGY,"7,370",2.616,3.143,0.007590
2934,MELANOMA RESEARCH,"2,198",2.615,2.420,0.003360
2935,ALLERGY AND ASTHMA PROCEEDINGS,"1,937",2.614,2.279,0.003140
2935,JOURNAL OF APPLIED CRYSTALLOGRAPHY,"23,716",2.614,4.681,0.021270
2935,NEUROMODULATION,"1,571",2.614,2.478,0.003680
2935,SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,"1,836",2.614,2.767,0.004490
2939,BMC Psychiatry,"6,678",2.613,3.119,0.020050
2940,AMERICAN JOURNAL OF SURGERY,"17,229",2.612,2.823,0.020020
2940,OncoTargets and Therapy,"2,852",2.612,2.711,0.007480
2942,BMC Geriatrics,"2,875",2.611,2.961,0.008240
2942,BMC Geriatrics,"2,875",2.611,2.961,0.008240
2942,CURRENT PHARMACEUTICAL DESIGN,"15,510",2.611,3.000,0.029540
2942,GEODINAMICA ACTA,678,2.611,1.951,0.000520
2946,Molecular Therapy-Methods & Clinical Development,372,2.610,2.610,0.001440
2947,ASTRONOMICAL JOURNAL,"28,260",2.609,3.107,0.037740
2947,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"6,615",2.609,3.489,0.011200
2947,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"6,615",2.609,3.489,0.011200
2950,Current Oncology Reports,"1,436",2.608,2.722,0.003540
2950,ECONOMIC JOURNAL,"10,567",2.608,3.859,0.022510
2950,JOURNAL OF PHYCOLOGY,"9,128",2.608,2.809,0.006450
2950,MedChemComm,"2,992",2.608,2.589,0.009700
2954,MATERIALS AND STRUCTURES,"6,903",2.607,2.624,0.009440
2955,Aerosol and Air Quality Research,"2,904",2.606,2.754,0.006330
2955,CALIFORNIA LAW REVIEW,"2,071",2.606,2.409,0.002900
2955,Obesity Research & Clinical Practice,794,2.606,2.361,0.002750
2955,Personality Disorders-Theory Research and Treatment,780,2.606,3.249,0.003290
2959,HYDROMETALLURGY,"8,433",2.605,3.039,0.008060
2959,IEEE TRANSACTIONS ON ELECTRON DEVICES,"21,765",2.605,2.848,0.030150
2959,MEMORIAS DO INSTITUTO OSWALDO CRUZ,"6,172",2.605,2.101,0.008990
2959,MUSCLE & NERVE,"10,897",2.605,2.560,0.015970
2963,ASTROBIOLOGY,"2,414",2.603,2.761,0.005540
2963,Biointerphases,"1,390",2.603,2.901,0.002390
2963,CULTURAL ANTHROPOLOGY,"1,762",2.603,3.099,0.003770
2963,GEOSYNTHETICS INTERNATIONAL,987,2.603,2.128,0.001590
2963,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,"1,508",2.603,3.326,0.003450
2963,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,"21,018",2.603,2.711,0.021730
2969,CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,"8,581",2.602,2.259,0.019280
2969,CONTROL ENGINEERING PRACTICE,"6,592",2.602,3.090,0.008380
2969,HEPATOLOGY RESEARCH,"3,466",2.602,2.159,0.006450
2969,JOURNAL OF ARCHAEOLOGICAL SCIENCE,"12,896",2.602,2.656,0.023490
2969,JOURNAL OF ARCHAEOLOGICAL SCIENCE,"12,896",2.602,2.656,0.023490
2969,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,"6,164",2.602,3.321,0.013290
2969,Social Psychology,499,2.602,1.898,0.003260
2976,Annual Reports on NMR Spectroscopy,389,2.600,1.879,0.000680
2976,COMPUTERS & OPERATIONS RESEARCH,"9,172",2.600,2.829,0.016750
2976,Journal of International Management,"1,471",2.600,3.200,0.001550
2979,JOURNAL OF BIOTECHNOLOGY,"14,204",2.599,2.908,0.017840
2979,JOURNAL OF MATERIALS SCIENCE,"41,032",2.599,2.522,0.036130
2981,Anti-Cancer Agents in Medicinal Chemistry,"2,876",2.598,2.714,0.005220
2981,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,"4,516",2.598,2.430,0.005420
2981,Neonatology,"2,122",2.598,2.662,0.006440
2984,Bone & Joint Research,484,2.597,2.867,0.002230
2985,ANTIVIRAL THERAPY,"3,338",2.594,2.458,0.008070
2985,Journal of Energy Chemistry,"1,091",2.594,2.994,0.002470
2985,Weather Climate and Society,427,2.594,2.373,0.002090
2985,Weather Climate and Society,427,2.594,2.373,0.002090
2989,JOURNAL OF SOUND AND VIBRATION,"32,268",2.593,2.955,0.025920
2989,Journal of Clinical Neurology,933,2.593,2.630,0.002700
2989,MULTIVARIATE BEHAVIORAL RESEARCH,"5,049",2.593,6.072,0.008980
2989,MULTIVARIATE BEHAVIORAL RESEARCH,"5,049",2.593,6.072,0.008980
2993,EUROPEAN ADDICTION RESEARCH,"1,062",2.592,2.561,0.002290
2993,EUROPEAN ADDICTION RESEARCH,"1,062",2.592,2.561,0.002290
2993,Environmental Science-Processes & Impacts,"1,917",2.592,2.706,0.007070
2993,World Neurosurgery,"4,373",2.592,2.795,0.013730
2997,DERMATOLOGIC CLINICS,"1,826",2.591,2.221,0.002740
2997,Emotion Review,"1,342",2.591,4.065,0.006020
2997,Optical Materials Express,"3,652",2.591,2.857,0.012690
3000,INFLAMMOPHARMACOLOGY,978,2.590,Not Available,0.001620
3000,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,"3,901",2.590,2.612,0.005010
3000,STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,"2,051",2.590,2.965,0.004590
3003,SURFACE & COATINGS TECHNOLOGY,"32,512",2.589,2.538,0.033090
3003,VIRGINIA LAW REVIEW,"2,346",2.589,2.765,0.003170
3005,JOURNAL OF PHYSICS D-APPLIED PHYSICS,"35,383",2.588,2.747,0.045940
3006,Pharmacological Reports,"3,763",2.587,2.536,0.006520
3007,AMERICAN JOURNAL OF HEALTH PROMOTION,"2,703",2.586,2.280,0.004090
3008,GENERAL AND COMPARATIVE ENDOCRINOLOGY,"10,740",2.585,2.535,0.012480
3009,FUTURE OF CHILDREN,"1,669",2.583,4.081,0.002180
3010,ANNALS OF EPIDEMIOLOGY,"6,297",2.582,2.516,0.009690
3010,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,"6,949",2.582,3.029,0.011460
3010,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,"6,949",2.582,3.029,0.011460
3013,APPLIED GEOCHEMISTRY,"10,555",2.581,2.671,0.013440
3013,Clinical Interventions in Aging,"2,882",2.581,2.730,0.007370
3013,EUROPEAN JOURNAL OF PROTISTOLOGY,"1,075",2.581,2.097,0.001380
3013,Journal of Pain Research,"1,031",2.581,Not Available,0.003960
3013,NEUROCHEMICAL RESEARCH,"8,300",2.581,2.506,0.011610
3013,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,"1,358",2.581,2.617,0.003390
3019,BULLETIN OF VOLCANOLOGY,"5,087",2.580,2.747,0.007540
3019,PANCREATOLOGY,"2,660",2.580,3.269,0.006290
3021,Frontiers of Physics,793,2.579,2.317,0.003210
3022,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,"20,600",2.578,2.949,0.025610
3023,AFRICAN AFFAIRS,"1,185",2.577,2.649,0.002520
3023,INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,"3,215",2.577,3.980,0.002250
3023,MECHANISM AND MACHINE THEORY,"6,524",2.577,2.853,0.006790
3026,COPD-Journal of Chronic Obstructive Pulmonary Disease,"1,755",2.576,2.529,0.004090
3026,CURRENT PROTEIN & PEPTIDE SCIENCE,"2,121",2.576,2.696,0.003860
3026,Food and Bioprocess Technology,"4,748",2.576,2.892,0.013090
3026,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,"2,702",2.576,2.594,0.002630
3030,BOUNDARY-LAYER METEOROLOGY,"6,646",2.573,2.779,0.007000
3030,Innovative Food Science & Emerging Technologies,"5,093",2.573,3.458,0.007280
3030,PSYCHOTHERAPY,"2,235",2.573,3.216,0.004750
3033,MATERIALS LETTERS,"37,918",2.572,2.426,0.050450
3034,AGRICULTURAL SYSTEMS,"4,495",2.571,3.190,0.005540
3034,Cyberpsychology Behavior and Social Networking,"2,603",2.571,3.866,0.007700
3034,DISEASES OF THE ESOPHAGUS,"2,581",2.571,2.182,0.005140
3037,ADVANCES IN ANATOMIC PATHOLOGY,"1,403",2.570,2.822,0.002510
3037,AQUACULTURE,"30,068",2.570,2.773,0.019650
3037,PREVENTION SCIENCE,"2,920",2.570,3.482,0.006840
3040,ENGINEERING GEOLOGY,"9,861",2.569,3.292,0.012380
3041,Radiation Oncology,"4,358",2.568,2.799,0.013660
3042,DIFFERENTIATION,"2,768",2.567,2.829,0.003170
3042,International Journal of Clinical and Health Psychology,701,2.567,2.181,0.001040
3042,Marketing Theory,"1,477",2.567,4.885,0.001720
3045,JOURNAL OF MECHANICAL DESIGN,"7,760",2.565,3.017,0.005890
3046,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,"1,095",2.564,2.430,0.002470
3047,EUROPEAN SPINE JOURNAL,"12,976",2.563,2.937,0.023160
3048,CHRONOBIOLOGY INTERNATIONAL,"4,215",2.562,3.056,0.007080
3049,DIAMOND AND RELATED MATERIALS,"7,790",2.561,2.103,0.006280
3049,Journal of Prosthodontic Research,551,2.561,Not Available,0.001480
3051,International Journal of Social Robotics,866,2.559,2.507,0.001150
3052,NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,"4,517",2.558,2.272,0.004130
3052,SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,"1,091",2.558,2.335,0.003240
3054,JOURNAL OF SEPARATION SCIENCE,"11,110",2.557,2.457,0.014330
3055,EUROPEAN JOURNAL OF CANCER PREVENTION,"2,404",2.556,2.457,0.004140
3055,POLYMER SCIENCE SERIES C,193,2.556,1.821,0.000370
3055,PSYCHOTHERAPY RESEARCH,"2,081",2.556,2.618,0.003940
3058,JOURNAL OF VOCATIONAL BEHAVIOR,"8,218",2.555,3.885,0.008210
3059,JOURNAL OF NEUROSCIENCE METHODS,"14,651",2.554,2.426,0.017530
3060,GEOTHERMICS,"2,789",2.553,3.043,0.003170
3060,HISTOCHEMISTRY AND CELL BIOLOGY,"4,097",2.553,2.350,0.006030
3062,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"11,951",2.552,2.630,0.012360
3062,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"11,951",2.552,2.630,0.012360
3062,Materials Science and Engineering B-Advanced Functional Solid-State Materials,"10,163",2.552,2.500,0.008250
3062,PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,"5,367",2.552,3.080,0.014520
3062,PUBLIC UNDERSTANDING OF SCIENCE,"2,007",2.552,2.415,0.003140
3067,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,"2,492",2.551,3.149,0.004000
3068,MYCOLOGIA,"7,346",2.550,2.753,0.006790
3068,Research in Organizational Behavior,"3,033",2.550,4.043,0.001620
3068,SYSTEMS & CONTROL LETTERS,"7,423",2.550,2.897,0.013910
3071,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,"19,747",2.549,2.679,0.031010
3071,RESEARCH IN MICROBIOLOGY,"4,347",2.549,2.735,0.005750
3073,REVIEWS IN THE NEUROSCIENCES,"1,572",2.546,3.191,0.003300
3074,JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY,"2,447",2.545,4.015,0.003210
3074,Parasite,"1,221",2.545,1.948,0.002180
3074,Reviews in Fisheries Science & Aquaculture,94,2.545,2.576,0.000360
3077,PSYCHOLOGY OF ADDICTIVE BEHAVIORS,"4,813",2.543,3.308,0.009890
3078,AMERICAN JOURNAL OF NEPHROLOGY,"4,004",2.542,2.796,0.008120
3078,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,821,2.542,2.928,0.003760
3080,Endocrine Connections,298,2.541,2.387,0.001290
3080,HEALTH & PLACE,"4,980",2.541,3.381,0.012500
3080,HEALTH & PLACE,"4,980",2.541,3.381,0.012500
3083,Journal of Infrared Millimeter and Terahertz Waves,"1,336",2.540,2.245,0.004350
3084,JOURNAL OF SPORTS SCIENCES,"9,174",2.539,3.043,0.012300
3084,RADIATION RESEARCH,"8,394",2.539,2.775,0.007900
3086,CHEMICAL ENGINEERING RESEARCH & DESIGN,"8,846",2.538,2.820,0.012780
3086,Journal of Parkinsons Disease,956,2.538,3.057,0.004230
3088,COGNITIVE AND BEHAVIORAL PRACTICE,"1,355",2.537,2.635,0.002840
3088,Journal of Family Nursing,625,2.537,2.347,0.000730
3088,Journal of Family Nursing,625,2.537,2.347,0.000730
3088,LASER PHYSICS LETTERS,"3,602",2.537,2.180,0.008870
3088,Strategic Entrepreneurship Journal,996,2.537,3.485,0.002160
3093,FOREIGN AFFAIRS,"2,501",2.536,2.566,0.007510
3093,Globalization and Health,"1,154",2.536,3.070,0.004080
3093,Globalization and Health,"1,154",2.536,3.070,0.004080
3093,IET Control Theory and Applications,"5,423",2.536,2.823,0.013170
3093,JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,"5,983",2.536,2.631,0.006340
3093,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,"6,069",2.536,2.157,0.005080
3093,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,"24,591",2.536,2.346,0.033770
3100,Biomicrofluidics,"3,132",2.535,3.105,0.008640
3100,Cellular and Molecular Bioengineering,660,2.535,1.756,0.002350
3100,Clinical Genitourinary Cancer,"1,182",2.535,2.406,0.003850
3103,COMPUTERS & GEOSCIENCES,"8,473",2.533,2.818,0.014650
3103,IEEE Antennas and Wireless Propagation Letters,"8,453",2.533,2.553,0.030680
3103,NURSE EDUCATION TODAY,"5,314",2.533,2.636,0.006490
3103,NURSE EDUCATION TODAY,"5,314",2.533,2.636,0.006490
3107,EXPERIMENTAL DERMATOLOGY,"5,684",2.532,2.940,0.011150
3107,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,"5,421",2.532,2.592,0.013140
3107,MICROCIRCULATION,"2,195",2.532,2.480,0.003520
3110,Journal of Sport and Health Science,476,2.531,2.730,0.001800
3110,Journal of Sport and Health Science,476,2.531,2.730,0.001800
3110,WEAR,"22,165",2.531,2.798,0.017960
3113,JOURNAL OF BIOMEDICAL OPTICS,"12,700",2.530,2.700,0.024470
3114,CONTINUUM MECHANICS AND THERMODYNAMICS,"1,151",2.529,2.356,0.002850
3115,COMPUTATIONAL LINGUISTICS,"2,235",2.528,4.154,0.002150
3115,COMPUTATIONAL LINGUISTICS,"2,235",2.528,4.154,0.002150
3115,IEEE SIGNAL PROCESSING LETTERS,"8,080",2.528,2.684,0.020370
3115,Journal of Aerosol Medicine and Pulmonary Drug Delivery,"1,001",2.528,2.486,0.001840
3115,Maternal and Child Nutrition,"1,620",2.528,3.320,0.005300
3115,PSYCHIATRY RESEARCH,"16,704",2.528,2.837,0.031770
3115,PSYCHIATRY RESEARCH,"16,704",2.528,2.837,0.031770
3122,JOURNAL OF NEURORADIOLOGY,792,2.526,1.695,0.001310
3122,RESTORATIVE NEUROLOGY AND NEUROSCIENCE,"1,935",2.526,3.000,0.003450
3122,SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,"8,272",2.526,2.519,0.009980
3125,PULMONARY PHARMACOLOGY & THERAPEUTICS,"2,213",2.525,2.390,0.003880
3126,GENES AND IMMUNITY,"2,979",2.524,2.665,0.005570
3126,JOURNAL OF GENE MEDICINE,"2,154",2.524,2.314,0.001770
3126,Journal of Neurologic Physical Therapy,781,2.524,3.259,0.001700
3129,CLINICAL OTOLARYNGOLOGY,"2,861",2.523,2.821,0.002770
3129,PRENATAL DIAGNOSIS,"5,884",2.523,2.687,0.012640
3129,PROTEIN SCIENCE,"13,121",2.523,2.693,0.015130
3132,Annual Review of Vision Science,59,2.522,2.522,0.000480
3132,JOURNAL OF SOILS AND SEDIMENTS,"3,481",2.522,2.703,0.007190
3134,INFORMATION SYSTEMS FRONTIERS,"1,254",2.521,2.205,0.001480
3135,CHEMICAL SENSES,"4,296",2.520,2.917,0.004150
3135,Critical Care and Resuscitation,833,2.520,2.398,0.002860
3135,INTERNATIONAL ORTHOPAEDICS,"7,757",2.520,2.631,0.018070
3135,Transportmetrica B-Transport Dynamics,97,2.520,2.541,0.000470
3135,Transportmetrica B-Transport Dynamics,97,2.520,2.541,0.000470
3140,Cardiology in Review,971,2.519,2.478,0.002260
3140,ECONOMIC GEOLOGY,"9,385",2.519,3.080,0.006000
3142,BIRTH-ISSUES IN PERINATAL CARE,"2,081",2.518,2.502,0.002690
3142,BIRTH-ISSUES IN PERINATAL CARE,"2,081",2.518,2.502,0.002690
3142,RISK ANALYSIS,"7,096",2.518,2.857,0.010090
3142,RISK ANALYSIS,"7,096",2.518,2.857,0.010090
3146,HUMAN DEVELOPMENT,"1,156",2.517,2.385,0.001010
3146,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,"3,005",2.517,2.894,0.005690
3148,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,"1,104",2.516,3.200,0.001930
3148,Computer Networks,"9,028",2.516,2.594,0.013090
3148,Current Drug Delivery,"1,546",2.516,2.338,0.001760
3148,JOURNAL OF COUNSELING PSYCHOLOGY,"6,418",2.516,4.094,0.006150
3148,PEDIATRIC NEPHROLOGY,"8,248",2.516,2.739,0.012260
3153,PEDIATRIC BLOOD & CANCER,"9,371",2.513,2.632,0.026330
3154,IEEE SENSORS JOURNAL,"11,167",2.512,2.527,0.023320
3154,WEST EUROPEAN POLITICS,"2,187",2.512,2.663,0.006200
3156,JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,"6,890",2.511,2.648,0.004580
3157,CANCER CAUSES & CONTROL,"7,535",2.510,2.746,0.013130
3157,International Journal of Endocrinology,"2,456",2.510,2.578,0.008180
3157,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,"6,166",2.510,2.709,0.014380
3160,INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,"7,607",2.509,2.857,0.009400
3160,MAMMALIAN GENOME,"2,651",2.509,2.778,0.004680
3162,MUTAGENESIS,"3,262",2.507,2.891,0.004220
3163,CNS & Neurological Disorders-Drug Targets,"2,447",2.506,2.573,0.005490
3163,SCIENCE EDUCATION,"4,116",2.506,4.047,0.004190
3165,NEURAL COMPUTING & APPLICATIONS,"3,553",2.505,2.012,0.008650
3166,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,"13,820",2.504,3.712,0.017010
3167,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,"4,565",2.503,2.199,0.007280
3168,ENZYME AND MICROBIAL TECHNOLOGY,"10,850",2.502,2.962,0.005910
3168,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"4,276",2.502,2.545,0.004810
3168,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"4,276",2.502,2.545,0.004810
3168,MEDICAL TEACHER,"6,732",2.502,2.981,0.012610
3172,LEUKEMIA RESEARCH,"6,205",2.501,2.370,0.011220
3173,Advances in Carbohydrate Chemistry and Biochemistry,687,2.500,3.000,0.000350
3173,COMMUNICATIONS IN MATHEMATICAL PHYSICS,"17,364",2.500,2.380,0.041260
3173,European Journal of Health Economics,"1,589",2.500,2.373,0.004790
3173,HERPETOLOGICAL MONOGRAPHS,379,2.500,2.038,0.000290
3173,JOURNAL OF BEHAVIORAL MEDICINE,"4,086",2.500,2.734,0.005250
3173,Journal of Studies on Alcohol and Drugs,"6,973",2.500,2.948,0.008890
3173,Journal of Studies on Alcohol and Drugs,"6,973",2.500,2.948,0.008890
3173,MACROMOLECULAR CHEMISTRY AND PHYSICS,"10,020",2.500,2.419,0.010890
3173,REVIEWS ON ADVANCED MATERIALS SCIENCE,"1,262",2.500,1.895,0.002210
3173,Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,596,2.500,Not Available,0.001610
3173,Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,596,2.500,Not Available,0.001610
3184,SENSORS AND ACTUATORS A-PHYSICAL,"15,974",2.499,2.478,0.018510
3184,SPINE,"42,415",2.499,3.093,0.037720
3186,COMPUTER VISION AND IMAGE UNDERSTANDING,"4,829",2.498,2.595,0.009070
3187,Frontiers in Bioscience-Landmark,"8,156",2.497,2.758,0.007530
3187,PROCESS BIOCHEMISTRY,"15,528",2.497,2.964,0.013690
3189,MECHATRONICS,"3,627",2.496,2.788,0.005350
3190,Journal of Inflammation-London,"1,055",2.495,2.615,0.002290
3190,Pain Practice,"1,756",2.495,2.423,0.004250
3192,Clinical Lymphoma Myeloma & Leukemia,"1,669",2.494,2.223,0.005230
3192,ULTRASOUND IN MEDICINE AND BIOLOGY,"9,759",2.494,2.568,0.012640
3194,IEEE Transactions on Human-Machine Systems,518,2.493,2.474,0.001520
3194,PARASITE IMMUNOLOGY,"2,717",2.493,2.242,0.003210
3194,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,"6,767",2.493,2.515,0.003510
3197,JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,"11,503",2.492,2.752,0.014130
3198,IEEE-ACM Transactions on Audio Speech and Language Processing,"1,011",2.491,2.501,0.002810
3198,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,"2,821",2.491,2.439,0.004460
3200,Ecosphere,"2,879",2.490,3.074,0.013830
3200,Human Gene Therapy Clinical Development,202,2.490,Not Available,0.001000
3200,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,"1,295",2.490,2.070,0.001800
3203,BioEnergy Research,"2,285",2.487,3.136,0.005800
3204,Frontiers in Neurorobotics,270,2.486,Not Available,0.000750
3204,NEUROPEPTIDES,"1,873",2.486,2.760,0.002620
3204,PEDIATRIC INFECTIOUS DISEASE JOURNAL,"11,874",2.486,2.673,0.024030
3204,TOPICS IN CATALYSIS,"6,320",2.486,2.544,0.007540
3208,BMC IMMUNOLOGY,"1,735",2.485,2.454,0.003660
3208,IEEE TRANSACTIONS ON NANOTECHNOLOGY,"3,100",2.485,2.140,0.006730
3208,SIAM Journal on Imaging Sciences,"2,971",2.485,3.471,0.011470
3211,Journal of Building Performance Simulation,532,2.483,2.874,0.001360
3212,COMPARATIVE POLITICAL STUDIES,"3,676",2.481,3.291,0.010470
3212,European Management Journal,"2,775",2.481,2.608,0.002020
3212,JOURNAL OF NEUROSCIENCE RESEARCH,"12,794",2.481,2.518,0.009260
3212,Pituitary,"1,963",2.481,2.778,0.003890
3212,QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"1,030",2.481,2.160,0.001800
3217,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,"7,104",2.480,2.396,0.011390
3217,Cancer Control,"1,495",2.480,2.711,0.002060
3217,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,"6,635",2.480,2.735,0.008940
3220,CHILD AND ADOLESCENT PSYCHIATRIC CLINICS OF NORTH AMERICA,"1,356",2.479,1.885,0.002150
3220,Health Reports,"1,196",2.479,3.959,0.002300
3220,Health Reports,"1,196",2.479,3.959,0.002300
3223,Cardiovascular Therapeutics,"1,024",2.478,2.510,0.002990
3224,Journal of Evidence-Based Dental Practice,408,2.477,Not Available,0.001280
3225,Biomed Research International,"23,200",2.476,2.587,0.080350
3225,INTERNATIONAL JOURNAL OF MODERN PHYSICS D,"3,533",2.476,1.745,0.007820
3225,International Business Review,"3,190",2.476,3.095,0.003310
3225,Journal of Patient Safety,610,2.476,2.333,0.002110
3225,Journal of Patient Safety,610,2.476,2.333,0.002110
3230,APPLIED VEGETATION SCIENCE,"1,724",2.474,2.377,0.002690
