"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
26857,"Current opinion in neurobiology",2014,"Neural maps for target range in the auditory cortex of echolocating bats.","M","Kössl","M","Vater","Institute for Cell Biology and Neuroscience, Goethe University, Frankfurt, Max-von-Laue-Str. 13, 60439 Frankfurt, Germany. Electronic address: koessl@bio.uni-frankfurt.de.","Journal Article","['J C', 'C', 'S', 'E C']","True","M","M","male",0.74,158,"male",0.74,158
26858,"Current opinion in neurobiology",2014,"Microcircuit dynamics of map plasticity in barrel cortex.","David J","Margolis","Fritjof","Helmchen","Brain Research Institute, University of Zurich, Zurich, Switzerland; Department of Cell Biology and Neuroscience, Rutgers University, New Brunswick, NJ, USA. Electronic address: david.margolis@rutgers.edu.","Journal Article","['Henry']","True","David","Fritjof","male",1,12593,NA,NA,NA
26859,"Current opinion in neurobiology",2014,"Neural maps in insect versus vertebrate auditory systems.","K Jannis","Hildebrandt","","","Cluster of Excellence ""Hearing4all"", University of Oldenburg, Germany; Auditory Neuroscience Group, Department of Neuroscience, University of Oldenburg, Germany. Electronic address: jannis.hildebrandt@uni-oldenburg.de.","Journal Article","[]","True","Jannis","","female",0.5,28,NA,NA,NA
26860,"Current opinion in neurobiology",2014,"Motor maps and the cortical control of movement.","Thomas C","Harrison","Timothy H","Murphy","Department of Psychiatry and Brain Research Centre, University of British Columbia, 2255 Wesbrook Mall, Vancouver BC Canada V6T1Z3.","Journal Article","[]","True","Thomas","Timothy","male",1,3753,"male",1,809
26861,"Current opinion in neurobiology",2014,"Neural maps versus salt-and-pepper organization in visual cortex.","Matthias","Kaschube","","","Frankfurt Institute for Advanced Studies, Faculty of Computer Science and Mathematics, Goethe University, Frankfurt am Main, Germany. Electronic address: kaschube@fias.uni-frankfurt.de.","Journal Article","[]","True","Matthias","","male",1,257,NA,NA,NA
26862,"Current opinion in neurobiology",2014,"Single neuron and population coding of natural sounds in auditory cortex.","Adi","Mizrahi","Israel","Nelken","Department of Neurobiology, Institute for Life Sciences and The Edmond and Lily Safra Center for Brain Sciences, The Hebrew University of Jerusalem, Edmond J. Safra Campus, Givat Ram, Jerusalem 91904, Israel. Electronic address: mizrahi.adi@mail.huji.ac.il.","Journal Article","['Amos']","True","Adi","Israel","male",0.58,276,"male",0.99,384
26863,"Current opinion in neurobiology",2014,"The development of the hippocampal neural representation of space.","Thomas J","Wills","Francesca","Cacucci","Department of Cell and Developmental Biology, University College London, Gower Street, London WC1E 6BT, UK. Electronic address: t.wills@ucl.ac.uk.","Journal Article","[]","True","Thomas","Francesca","male",1,3753,"female",1,1122
26864,"Current opinion in neurobiology",2014,"Olfactory maps, circuits and computations.","Andrew J","Giessel","Sandeep Robert","Datta","Harvard Medical School, Department of Neurobiology, 220 Longwood Avenue, Boston, MA 02115, United States.","Journal Article","[]","True","Andrew","Sandeep","male",1,5168,"male",0.89,272
26865,"Current opinion in neurobiology",2014,"Retinal ganglion cell maps in the brain: implications for visual processing.","Onkar S","Dhande","Andrew D","Huberman","Department of Neurosciences, University of California, San Diego, United States; Neurobiology Section in the Division of Biological Sciences, University of California, San Diego, United States. Electronic address: odhande@ucsd.edu.","Journal Article","[]","True","Onkar","Andrew","male",1,22,"male",1,5168
26866,"Current opinion in neurobiology",2014,"The evolutionary masquerade: genetic and epigenetic contributions to the neocortex.","Leah","Krubitzer","Danielle S","Stolzenberg","University of California Davis, Center for Neuroscience, Department of Psychology, 1544 Newton CT, Davis, CA 95618, USA. Electronic address: lakrubitzer@ucdavis.edu.","Journal Article","[]","True","Leah","Danielle","female",1,904,"female",1,2429
26867,"Current opinion in neurobiology",2014,"Auditory map plasticity: diversity in causes and consequences.","Christoph E","Schreiner","Daniel B","Polley","Coleman Memorial Laboratory, UCSF Center for Integrative Neuroscience, University of California at San Francisco, San Francisco, CA 94143, USA. Electronic address: chris@phy.ucsf.edu.","Journal Article","[]","True","Christoph","Daniel","male",1,192,"male",1,8180
26869,"Current opinion in neurobiology",2014,"Role of emergent neural activity in visual map development.","James B","Ackman","Michael C","Crair","Department of Neurobiology, Yale University School of Medicine, New Haven, CT 06510, United States.","Journal Article","[]","True","James","Michael","male",0.99,6359,"male",1,11094
12481,"Current opinion in neurobiology",2016,"Modeling psychiatric disorders with patient-derived iPSCs.","Zhexing","Wen","Guo-li","Ming","Institute for Cell Engineering, Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA; Department of Neurology, Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA.","Journal Article","['Kimberly M', 'Hongjun']","True","Zhexing","Guo-li",NA,NA,NA,NA,NA,NA
25327,"Current opinion in neurobiology",2016,"Computations underlying sensorimotor learning.","Daniel M","Wolpert","J Randall","Flanagan","Department of Engineering, University of Cambridge, Trumpington Street, Cambridge CB2 1PZ, UK. Electronic address: wolpert@eng.cam.ac.uk.","Journal Article","[]","True","Daniel","Randall","male",1,8180,"male",0.99,176
18892,"Current opinion in neurobiology",2016,"Efficiency turns the table on neural encoding, decoding and noise.","Sophie","Deneve","Matthew","Chalk","Institut d'études cognitives, Ecole Normale Supèrieure, Paris, France. Electronic address: sophie.deneve@ens.fr.","Journal Article","[]","True","Sophie","Matthew","female",1,1836,"male",1,3338
7914,"Current opinion in neurobiology",2011,"Learning and motivation in the human striatum.","Daphna","Shohamy","","","Department of Psychology, Columbia University, New York, NY 10025, USA. shohamy@psych.columbia.edu","Journal Article","[]","True","Daphna","","female",1,29,NA,NA,NA
13205,"Current opinion in neurobiology",2011,"Cerebellar supervised learning revisited: biophysical modeling and degrees-of-freedom control.","Mitsuo","Kawato","Nicolas","Schweighofer","ATR Computational Neuroscience Laboratories, 2-2-2 Hikaridai, Seika-cho, Soraku-gun, Kyoto 619-0288, Japan. kawato@atr.jp","Journal Article","['Shinya']","True","Mitsuo","Nicolas","male",1,1,"male",1,1953
27037,"Current opinion in neurobiology",2011,"Perisomatic inhibition and cortical circuit dysfunction in schizophrenia.","David A","Lewis","Guillermo","Gonzalez-Burgos","Translational Neuroscience Program, Department of Psychiatry, University of Pittsburgh, Pittsburgh, PA, United States. lewisda@upmc.edu","Journal Article","['Kenneth N', 'Dominique']","True","David","Guillermo","male",1,12593,"male",1,850
684,"Current opinion in neurobiology",2017,"Control of brain energy supply by astrocytes.","Ross","Nortley","David","Attwell","Department of Neuroscience, Physiology & Pharmacology, University College London, Gower Street, London WC1E 6BT, UK.","Journal Article","[]","True","Ross","David","male",0.95,692,"male",1,12593
685,"Current opinion in neurobiology",2017,"Myelin plasticity and behaviour-connecting the dots.","Malte Sebastian","Kaller","Heidi","Johansen-Berg","Nuffield Department of Clinical Neurosciences, John Radcliffe Hospital, University of Oxford, Oxford OX1 2JD, United Kingdom. Electronic address: malte.kaller@pmb.ox.ac.uk.","Journal Article","['Alberto', 'Cristina', 'Cassandra']","True","Sebastian","Heidi","male",1,1459,"female",1,1211
11775,"Current opinion in neurobiology",2017,"Myelin dynamics: protecting and shaping neuronal functions.","Aiman S","Saab","Klaus-Armin","Nave","Institute of Pharmacology and Toxicology, University of Zurich, Zurich, Switzerland; Neuroscience Center Zurich, University and ETH Zurich, Zurich, Switzerland. Electronic address: asaab@pharma.uzh.ch.","Journal Article","[]","True","Aiman","Klaus-Armin","female",0.55,29,NA,NA,NA
19655,"Current opinion in neurobiology",2017,"Microglia: origins, homeostasis, and roles in myelin repair.","Amy F","Lloyd","Veronique E","Miron","Medical Research Council Centre for Reproductive Health, The Queen's Medical Research Institute, The University of Edinburgh, 47 Little France Crescent, Edinburgh EH16 4TJ, United Kingdom.","Journal Article","['Claire L']","True","Amy","Veronique","female",0.99,4334,"female",1,431
19656,"Current opinion in neurobiology",2017,"Oligodendroglia-lineage cells in brain plasticity, homeostasis and psychiatric disorders.","F","Birey","A","Aguirre","Stanford University, Department of Psychiatry and Behavioral Sciences, United States.","Journal Article","['A G']","True","F","A","male",0.67,6,"male",0.59,56
24055,"Current opinion in neurobiology",2017,"Diversity of oligodendrocytes and their progenitors.","Leda","Dimou","Mikael","Simons","Molecular and Translational Neuroscience, Department of Neurology, Ulm University, 89081 Ulm, Germany; Munich Cluster for Systems Neurology (SyNergy), 81377 Munich, Germany. Electronic address: leda.dimou@uni-ulm.de.","Journal Article","[]","True","Leda","Mikael","female",1,33,"male",1,314
26346,"Current opinion in neurobiology",2017,"On place and time: microglia in embryonic and perinatal brain development.","Morgane Sonia","Thion","Sonia","Garel","Institut de biologie de l'Ecole normale supérieure (IBENS), Ecole normale supérieure, CNRS, INSERM, PSL Research University, 75005 Paris, France. Electronic address: thion@biologie.ens.fr.","Journal Article","[]","True","Morgane","Sonia","female",1,164,"female",1,1550
10194,"Current opinion in neurobiology",2017,"Recurrent neural networks as versatile tools of neuroscience research.","Omri","Barak","","","Faculty of Medicine and Network Biology Research Laboratories, Technion - Israel Institute of Technology, Israel. Electronic address: omri.barak@gmail.com.","Journal Article","[]","True","Omri","","male",1,29,NA,NA,NA
24545,"Current opinion in neurobiology",2017,"Hebbian plasticity in vivo: relevance and induction.","Niels","Andersen","Sadegh","Nabavi","DANDRITE - Danish Research Institute of Translational Neuroscience, Denmark; Department of Molecular Biology and Genetics, Aarhus University, Denmark.","Journal Article","['Nathalie']","True","Niels","Sadegh","male",0.95,210,"male",1,1
12995,"Current opinion in neurobiology",2015,"Hippocampal sharp-wave ripples in waking and sleeping states.","Demetris K","Roumis","Loren M","Frank","Center for Integrative Neuroscience and Department of Physiology, University of California, San Francisco, United States.","Journal Article","[]","True","Demetris","Loren","male",0.92,13,"female",0.66,170
7896,"Current opinion in neurobiology",2015,"Neuroanatomic and cognitive abnormalities in attention-deficit/hyperactivity disorder in the era of 'high definition' neuroimaging.","Argelinda","Baroni","F Xavier","Castellanos","The Child Study Center at NYU Langone Medical Center, NY, NY, USA.","Journal Article","[]","True","Argelinda","Xavier",NA,NA,NA,"male",0.99,686
8008,"Current opinion in neurobiology",2015,"Untangling cross-frequency coupling in neuroscience.","Juhan","Aru","Raul","Vicente","Max-Planck Institute for Brain Research, Frankfurt am Main 60528, Germany; École Normale Supérieure de Lyon (UMPA), Lyon 69364, France.","Journal Article","['Jaan', 'Viola', 'Michael', 'Luiz', 'Gordon', 'Wolf']","True","Juhan","Raul","male",1,3,"male",1,821
10890,"Current opinion in neurobiology",2015,"Illuminating circuitry relevant to psychiatric disorders with optogenetics.","Elizabeth E","Steinberg","Robert C","Malenka","Nancy Pritzker Laboratory, Stanford University School of Medicine, 265 Campus Drive, Stanford, CA 94305-5453, USA; Dept. of Psychiatry and Behavioral Sciences, Stanford University School of Medicine, 265 Campus Drive, Stanford, CA 94305-5453, USA.","Journal Article","['Daniel J', 'Karl']","True","Elizabeth","Robert","female",1,3508,"male",1,5222
10892,"Current opinion in neurobiology",2015,"Synchrony in schizophrenia: a window into circuit-level pathophysiology.","Timothy J","Spellman","Joshua A","Gordon","Department of Physiology, Columbia University, College of Physicians and Surgeons, New York, NY 10032, United States.","Journal Article","[]","True","Timothy","Joshua","male",1,809,"male",0.99,1570
12946,"Current opinion in neurobiology",2015,"Interareal oscillatory synchronization in top-down neocortical processing.","Steven L","Bressler","Craig G","Richter","Center for Complex Systems and Brain Sciences, Florida Atlantic University, United States. Electronic address: bressler@fau.edu.","Journal Article","[]","True","Steven","Craig","male",1,2600,"male",1,1816
12947,"Current opinion in neurobiology",2015,"Chaotic itinerancy and its roles in cognitive neurodynamics.","Ichiro","Tsuda","","","Research Institute for Electronic Science, Hokkaido University, Kita-12, Nishi-7, Kita-ku, Sapporo, Hokkaido 060-0012, Japan. Electronic address: tsuda@math.sci.hokudai.ac.jp.","Journal Article","[]","True","Ichiro","","male",1,3,NA,NA,NA
13368,"Current opinion in neurobiology",2015,"Depression: from psychopathology to pathophysiology.","Catherine","Belzung","Pierre","Philippot","INSERM 930 & Université François Rabelais, F 37300 Tours, France. Electronic address: catherine.belzung@univ-tours.fr.","Journal Article","['Paul']","True","Catherine","Pierre","female",1,2372,"male",0.99,852
14064,"Current opinion in neurobiology",2015,"The neurobiological effects of stress as contributors to psychiatric disorders: focus on epigenetics.","Nadine","Provencal","Elisabeth B","Binder","Department of Translational Research in Psychiatry, Max-Planck Institute of Psychiatry, Munich, Germany.","Journal Article","[]","True","Nadine","Elisabeth","female",1,672,"female",1,570
17286,"Current opinion in neurobiology",2015,"Neuromodulation for mood and memory: from the engineering bench to the patient bedside.","Zhi-De","Deng","Sarah H","Lisanby","Division of Brain Stimulation and Neurophysiology, Department of Psychiatry and Behavioral Sciences, Duke University School of Medicine, Durham, NC, USA.","Addresses","['Shawn M', 'Nicodemus E', 'Bruce']","True","Zhi-De","Sarah",NA,NA,NA,"female",1,8371
27336,"Current opinion in neurobiology",2015,"The thalamocortical network as a single slow wave-generating unit.","Vincenzo","Crunelli","Stuart W","Hughes","Neuroscience Division, School of Biosciences, Cardiff University, Museum Avenue, Cardiff CF10 3AX, UK. Electronic address: crunelli@cardiff.ac.uk.","Journal Article","['Francois', 'Magor L']","True","Vincenzo","Stuart","male",1,350,"male",0.99,759
4004,"Current opinion in neurobiology",2007,"Role of anticipated reward in cognitive behavioral control.","Masataka","Watanabe","","","Department of Psychology, Tokyo Metropolitan Institute for Neuroscience, Musashidai 2-6, Fuchu, Tokyo 183-8526, Japan. masataka@tmin.ac.jp","Journal Article","[]","True","Masataka","","male",1,2,NA,NA,NA
4006,"Current opinion in neurobiology",2007,"The neuroscience of remote memory.","Larry R","Squire","Peter J","Bayley","Veterans Affairs Medical Center 116A, 3550 La Jolla Village Drive, San Diego, CA 92161, USA. lsquire@ucsd.edu","Journal Article","[]","True","Larry","Peter","male",1,972,"male",1,4373
16769,"Current opinion in neurobiology",2007,"Functional role of the ventrolateral prefrontal cortex in decision making.","Masamichi","Sakagami","Xiaochuan","Pan","Brain Science Research Center, Tamagawa University Research Institute, Tamagawa-gakuen, 6-1-1 Machida, Tokyo 194-8610, Japan. sakagami@lab.tamagawa.ac.jp","Journal Article","[]","True","Masamichi","Xiaochuan","male",1,1,NA,NA,NA
17307,"Current opinion in neurobiology",2007,"Functional organization of the medial frontal cortex.","Matthew F S","Rushworth","David M","Bannerman","Department of Experimental Psychology, University of Oxford, South Parks Road, Oxford OX1 3UD, UK. matthew.rushworth@psy.ox.ac.uk","Journal Article","['Mark J', 'Timothy E J', 'Mark E']","True","Matthew","David","male",1,3338,"male",1,12593
3696,"Current opinion in neurobiology",2012,"From a single decision to a multi-step algorithm.","Stanislas","Dehaene","Mariano","Sigman","Collège de France, F-75005 Paris, France. stanislas.dehaene@gmail.com","Journal Article","[]","True","Stanislas","Mariano","male",1,8,"male",1,310
4417,"Current opinion in neurobiology",2012,"Neural basis of learning and preference during social decision-making.","Hyojung","Seo","Daeyeol","Lee","Department of Neurobiology, Yale University School of Medicine, 333 Cedar Street, SHM B404, New Haven, CT 06510, USA.","Journal Article","[]","True","Hyojung","Daeyeol","female",1,1,NA,NA,NA
4418,"Current opinion in neurobiology",2012,"How to set the switches on this thing.","Peter","Dayan","","","Gatsby Computational Neuroscience Unit, University College London, 17 Queen Square, London WC1N 3AR, United Kingdom. dayan@gatsby.ucl.ac.uk","Journal Article","[]","True","Peter","","male",1,4373,NA,NA,NA
15630,"Current opinion in neurobiology",2012,"How does the neuroscience of decision making bear on our understanding of moral responsibility and free will?","Adina L","Roskies","","","Dartmouth College, Hanover, NH 03755, United States. adina.roskies@dartmouth.edu","Journal Article","[]","True","Adina","","female",1,99,NA,NA,NA
15631,"Current opinion in neurobiology",2012,"Modeling neurodevelopmental disorders using human neurons.","Thanathom","Chailangkarn","Alysson Renato","Muotri","University of California San Diego, School of Medicine, Department of Pediatrics/Rady Children's Hospital San Diego, Department of Cellular & Molecular Medicine, Stem Cell Program, La Jolla, CA 92093, USA.","Journal Article","['Allan']","True","Thanathom","Alysson",NA,NA,NA,"male",0.57,7
11737,"Current opinion in neurobiology",2006,"Insights from models of rhythmic motor systems.","Astrid A","Prinz","","","Emory University Department of Biology, Rollins Research Center, 1510 Clifton Road, Atlanta, GA 30322 USA. astrid.prinz@emory.edu","Journal Article","[]","True","Astrid","","female",1,365,NA,NA,NA
25576,"Current opinion in neurobiology",2006,"Learning to predict the future: the cerebellum adapts feedforward movement control.","Amy J","Bastian","","","Kennedy Krieger Institute, The Johns Hopkins School of Medicine, North Broadway, G04 Baltimore, MD 21205, USA. bastian@kennedykrieger.org","Journal Article","[]","True","Amy","","female",0.99,4334,NA,NA,NA
3727,"Current opinion in neurobiology",2010,"Microglia dynamics and function in the CNS.","Christopher N","Parkhurst","Wen-Biao","Gan","Molecular Neurobiology Program, Skirball Institute, Department of Physiology and Neuroscience, New York University School of Medicine, 540 First Avenue, New York, NY 10016, USA.","Journal Article","[]","True","Christopher","Wen-Biao","male",1,2339,NA,NA,NA
20459,"Current opinion in neurobiology",2010,"Functional polarity in neurons: what can we learn from studying an exception?","Nathaniel N","Urban","Jason B","Castro","Department of Biological Sciences, Center for the Neural Basis of Cognition, Carnegie Mellon University, USA.","Journal Article","[]","True","Nathaniel","Jason","male",1,234,"male",1,4927
20460,"Current opinion in neurobiology",2011,"Further tales of the midline.","Alain","Chédotal","","","Institut National de la Santé et de la Recherche Médicale, UMR S968, Institut de la Vision, F-75012 Paris, France. alain.chedotal@inserm.fr","Journal Article","[]","True","Alain","","male",1,482,NA,NA,NA
24470,"Current opinion in neurobiology",2010,"New resolving power for light microscopy: applications to neurobiology.","Adish","Dani","Bo","Huang","Department of Pathology and Immunology, Washington University School of Medicine, 660 S. Euclid Ave, St. Louis, MO 63110, USA. adani@path.wustl.edu","Journal Article","[]","True","Adish","Bo",NA,NA,NA,"male",0.84,229
24472,"Current opinion in neurobiology",2011,"Spine plasticity in the motor cortex.","Xinzhu","Yu","Yi","Zuo","Department of Molecular, Cell and Developmental Biology, University of California Santa Cruz, Santa Cruz, CA 95064, USA.","Journal Article","[]","True","Xinzhu","Yi",NA,NA,NA,"female",0.56,68
28747,"Current opinion in neurobiology",2010,"Signaling mechanisms.","Linda","Van Aelst","Pico","Caroni","","Editorial","[]","False","Linda","Pico","female",1,4323,"male",1,2
16497,"Current opinion in neurobiology",2016,"The autonomic nervous system is the engine for vocal development through social feedback.","Asif A","Ghazanfar","Yisi S","Zhang","Princeton Neuroscience Institute, Princeton University, Princeton, NJ 08544, USA; Department of Psychology, Princeton University, Princeton, NJ 08544, USA. Electronic address: asifg@princeton.edu.","Review","[]","True","Asif","Yisi","male",1,162,"female",0.5,2
18826,"Current opinion in neurobiology",2016,"Editorial overview: Cellular neuroscience.","Mikael","Simons","Bettina","Winckler","Max Planck Institute of Experimental Medicine, Göttingen, Germany; Institute of Neuronal Cell Biology, Technical University Munich, Munich, Germany; German Center for Neurodegenerative Diseases (DZNE), Munich, Germany; Munich Cluster of Systems Neurology (SyNergy), Munich, Germany. Electronic address: msimons@gwdg.de.","Editorial","[]","False","Mikael","Bettina","male",1,314,"female",1,156
22467,"Current opinion in neurobiology",2012,"Sense, memory, and decision-making in the somatosensory cortical network.","Ranulfo","Romo","Victor","de Lafuente","Instituto de Fisiología Celular-Neurociencias, Universidad Nacional Autónoma de México, 04510 México, D.F., Mexico. rromo@ifc.unam.mx","Journal Article","['Luis']","True","Ranulfo","Victor",NA,NA,NA,"male",1,2234
22991,"Current opinion in neurobiology",2012,"Value normalization in decision making: theory and evidence.","Antonio","Rangel","John A","Clithero","Division of the Humanities and Social Sciences, California Institute of Technology, MC 228-77 Pasadena, CA 91125, United States. rangel@hss.caltech.edu","Journal Article","[]","True","Antonio","John","male",1,2290,"male",0.99,9931
22992,"Current opinion in neurobiology",2012,"Conscious motor intention emerges in the inferior parietal lobule.","Michel","Desmurget","Angela","Sirigu","Centre de Neuroscience Cognitive, UMR 5229, CNRS, Bron, France.","Journal Article","[]","True","Michel","Angela","male",0.96,729,"female",1,3511
22994,"Current opinion in neurobiology",2013,"The belly rules the nose: feeding state-dependent modulation of peripheral chemosensory responses.","Piali","Sengupta","","","Department of Biology and the National Center for Behavioral Genomics, Brandeis University, Waltham, MA 02454, United States. sengupta@brandeis.edu","Journal Article","[]","True","Piali","",NA,NA,NA,NA,NA,NA
2729,"Current opinion in neurobiology",2011,"Understanding the role of TDP-43 and FUS/TLS in ALS and beyond.","Sandrine","Da Cruz","Don W","Cleveland","Ludwig Institute and Department of Cellular and Molecular Medicine, University of California at San Diego, La Jolla, CA 92093-0670, United States.","Journal Article","[]","True","Sandrine","Don","female",1,447,"male",0.99,1025
9884,"Current opinion in neurobiology",2011,"Models of place and grid cell firing and theta rhythmicity.","Neil","Burgess","John","O'Keefe","UCL Institute of Cognitive Neuroscience, 17 Queen Square, London WC1N 3AR, UK; UCL Institute of Neurology, Queen Square, London WC1N 3BG, UK.","Journal Article","[]","True","Neil","John","male",1,1036,"male",0.99,9931
10384,"Current opinion in neurobiology",2011,"Trigger features and excitation in the retina.","W R","Taylor","R G","Smith","Casey Eye Institute, Department of Ophthalmology, Oregon Health and Science University, Portland, OR, United States. taylorw@ohsu.edu","Journal Article","[]","True","W","R","male",0.71,7,"male",0.79,42
29003,"Current opinion in neurobiology",2008,"Neural basis of sensorimotor learning: modifying internal models.","Hagai","Lalazar","Eilon","Vaadia","Department of Physiology, Faculty of Medicine and The Interdisciplinary Center for Neural Computation (ICNC), The Hebrew University of Jerusalem, Israel. hagai@alice.nc.huji.ac.il","Journal Article","[]","True","Hagai","Eilon","male",1,6,NA,NA,NA
4087,"Current opinion in neurobiology",2013,"Negative reinforcement in drug addiction: the darkness within.","George F","Koob","","","Committee on the Neurobiology of Addictive Disorders, The Scripps Research Institute, La Jolla, CA, USA. gkoob@scripps.edu","Journal Article","[]","True","George","","male",0.99,2098,NA,NA,NA
17580,"Current opinion in neurobiology",2013,"Optogenetics in psychiatric diseases.","Clara","Touriño","Luis","de Lecea","Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine, Stanford, CA 94305, USA.","Journal Article","['Ada']","True","Clara","Luis","female",1,645,"male",1,4053
22525,"Current opinion in neurobiology",2013,"Neural circuits and motivational processes for hunger.","Scott M","Sternson","Zhen Fang Huang","Cao","Janelia Farm Research Campus, Ashburn, VA 20147, USA. sternsons@janelia.hhmi.org","Journal Article","['J']","True","Scott","Huang","male",1,3450,"female",0.59,54
